date,close,high,low,open,volume,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,HT_TRENDLINE,KAMA10,KAMA20,KAMA30,SAR,TRIMA5,TRIMA10,TRIMA20,ADX5,ADX10,ADX20,APO,CCI5,CCI10,CCI15,macd510,macd520,macd1020,macd1520,macd1226,MFI,MOM10,MOM15,MOM20,ROC5,ROC10,ROC20,PPO,RSI14,RSI8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ULTOSC,WILLR,ATR,Trange,TYPPRICE,HT_DCPERIOD,BETA
5/19/2015,448.16,454.19,443.76,449.9,140720,442.758,436.37,427.7433333,426.123,443.3763469,437.7273003,434.4566699,432.3536208,455.1241952,442.758,430.3918048,427.5077779,434.2806843,435.283819,428.455375,339.22,443.9,436.016,422.7270909,34.34617743,17.84814023,16.11834449,2.296730769,69.05806494,113.399411,109.6530868,5.64904653,11.02272605,5.373679816,2.102874373,5.830968075,70.82292355,19.14,48.64,-7.67,3.226995278,4.461330474,-1.682644846,0.531606624,61.80275737,67.97676459,77.79598558,79.0558145,71.68067227,77.79598558,90.9910324,89.61281607,48.52261841,-10.70861138,16.50604489,10.43,448.7033333,20.48051024,0.617403649
5/20/2015,449.88,453.5,439.26,452.48,827630,446.192,438.504,431.0166667,426.75,445.5442313,439.9368821,436.3845861,434.0227998,454.2890256,446.192,438.0949744,427.0042247,435.8450074,435.5162731,428.8946041,339.22,446.6255556,438.7176667,424.7841818,31.46081004,17.42440207,15.86681783,4.937179487,40.4712224,82.84418356,94.99198957,5.607349149,11.52143146,5.914082549,2.361633504,6.490159524,65.60549731,21.34,49.1,12.54,3.96801553,4.979698511,2.867334339,1.143008091,62.64199139,69.35952773,72.14625256,76.6789016,76.45403377,72.14625256,100,89.61281607,53.70303985,-7.975850016,16.34418454,14.24,447.5466667,19.99745615,0.938538128
5/21/2015,457.7,460,447.3,451.99,484280,450.038,442.468,434.9333333,428.2355,449.5961542,443.1665399,439.0490129,436.2777712,458.0778249,450.038,441.9981751,427.3203714,442.6670332,436.5180165,429.4372704,339.22,449.1611111,441.9213333,427.2816364,33.55312309,18.07169011,15.87041531,6.853333333,166.6666667,119.6396074,127.8069756,6.429614266,13.31838292,6.888768856,2.771107893,7.556475793,66.05857973,39.64,58.75,29.71,4.385704837,9.481892551,6.941750975,1.584878899,66.27046833,74.97437313,79.02389833,76.32204549,88.93698894,79.02389833,100,96.9970108,57.02312209,-3.380364491,16.08388564,12.7,455,19.69786413,1.149573358
5/22/2015,450.7,459.78,449,458.8,164530,450.5,444.093,438.018,429.397,449.9641028,444.5362599,440.5053863,437.6513168,458.3716504,450.5,442.6283496,428.19175,443.4691352,436.9490579,429.5421603,339.22,450.9022222,444.5216667,430.0170909,35.22697354,18.65424933,15.87383292,8.503846154,61.63522013,89.20592176,105.0701695,5.427842859,12.31278594,6.884943242,2.853952406,7.747390525,59.88185666,16.25,46.27,23.23,0.51517652,3.740361376,5.434299483,1.965679293,60.59677173,63.13805152,73.51671184,74.89562091,55.15911283,73.51671184,0,66.66666667,55.00158291,-18.23887037,15.70503667,10.78,453.16,19.57853907,1.262157281
5/25/2015,450.34,454.98,444.16,450,205000,451.356,445.656,440.0893333,431.2145,450.0894019,445.5914854,441.734713,438.8597629,457.9348704,451.356,444.7771296,429.627,444.1115609,437.8273153,429.6298596,339.22,452.5288889,446.8,432.8311818,29.6902851,17.9561732,15.62737462,11.50769231,-26.31126693,48.24172577,71.8319746,4.497916464,11.229639,6.731722667,2.874847735,7.779960294,52.45556294,15.63,31.07,36.35,0.959512173,3.595500449,8.780405324,2.661954864,60.31079528,62.55758087,65.83981277,72.79347431,53.42333655,65.83981277,0,33.33333333,54.98322776,-18.94489116,15.35610548,10.82,449.8266667,19.60412243,1.218963972
5/26/2015,448.33,458.5,445.01,452.94,372020,451.39,447.074,441.3766667,433.655,449.5029346,446.0893971,442.5591239,439.7616902,457.9038867,451.39,444.8761133,431.5293,444.4318614,439.1379532,429.7408617,339.22,451.8211111,448.7056667,435.5858182,28.59810567,17.98009843,15.5353876,12.84205128,-18.00748363,49.95809212,67.76261124,3.413537432,9.741244367,6.327707043,2.797344064,7.556475523,59.75509282,14.18,19.31,48.81,0.037932881,3.266152252,12.21716059,2.971839795,58.64660905,59.09104072,50.77145612,63.37599358,43.731919,50.77145612,0,0,48.46207474,-22.88684056,15.22281223,13.49,450.6133333,19.74195137,1.10899154
5/27/2015,441.16,451.3,430.57,446.63,427300,449.646,447.919,442.218,435.674,446.7219564,445.1931431,442.3842334,439.8948626,460.2366948,449.646,439.0553052,433.5487,444.3320341,439.3083366,429.8105459,339.22,449.7711111,449.8536667,438.1024545,29.97444866,17.3388584,14.7587255,13.94378205,-164.9026719,-120.4064752,-9.022753186,1.528813267,6.827093816,5.298280637,2.489292419,6.723301124,55.00366242,8.45,12.62,40.38,-1.938294656,1.952809041,10.07535306,3.231015299,53.0257643,48.20186152,44.37964855,53.66363915,35.98369011,44.37964855,0,0,51.3712956,-41.42480211,15.61618278,20.73,441.01,19.97405515,1.426242799
5/28/2015,442.42,450,435.5,441.16,199350,446.59,448.314,443.842,437.8475,445.2879709,444.6889353,442.3887042,440.1353518,454.6326861,446.59,438.5473139,435.69365,444.3037766,439.6051529,429.8809248,339.22,446.79,449.92,440.3647273,31.07552306,16.76174237,14.0208965,14.4375641,-71.25925926,-116.9625903,-9.237880377,0.599035646,5.152619076,4.553583503,2.253283766,6.094423163,55.0473077,3.95,24.36,43.47,-3.338431287,0.900859808,10.89610227,3.343919209,53.86261452,50.05048358,40.09463588,45.08191352,40.56829853,40.09463588,11.05335361,3.684451205,50.02523278,-53.28887542,15.53645544,14.5,442.64,20.26115527,1.48422677
5/29/2015,421.66,458.9,411.57,449.9,2363130,440.782,445.641,442.9893333,438.709,437.4119806,440.5018561,439.7976162,438.3757945,461.1153122,440.782,420.4486878,436.6852167,441.1883802,439.2052928,429.6208691,339.22,441.8866667,448.3773333,442.0247273,39.11136702,19.24918857,14.22965647,13.76019231,-140.610652,-206.4779065,-133.1424838,-3.08987552,-0.963813912,2.126061667,1.421761634,3.876192018,33.03503946,-26.73,-12.79,17.23,-6.443310406,-5.961328308,4.260316989,3.188829626,40.92581523,29.93412698,32.62346378,39.03258274,21.3184027,32.62346378,0,3.684451205,40.50078024,-79.16580632,17.80742291,47.33,430.71,20.53705239,-0.624285559
6/1/2015,437.99,441.2,424.75,428,403820,438.312,444.834,443.208,439.645,437.6046537,440.045155,439.5716642,438.3390522,456.2617048,438.312,420.3622952,437.7298048,441.1278614,439.1759087,429.7187385,339.22,437.6911111,446.346,443.2117273,45.54004219,21.48789016,14.42797845,13.31557692,-60.69528147,-110.0217195,-89.73618503,-2.440501276,-0.734398447,1.706102877,1.23255945,3.396766569,37.8235594,-8.07,3.28,18.72,-2.74237243,-1.809173654,4.464903284,3.082902339,50.91312105,48.53092561,39.23584456,37.31798141,55.82083245,39.23584456,56.35924622,22.47086661,42.76424417,-45.44703696,17.93117842,19.54,434.6466667,20.80043177,-1.0305749
